Nombre,Marca,Puntuacion,Informativo,C_peque_manej,C_deportivo,C_bueno_barato,C_practico,C_ecologico,C_atractivo,Lo_mejor,Lo_peor
 Volkswagen Golf ,,"3,8"," «El mismo de siempre, mejor que nunca. El paso de los años sienta bien al Volkswagen Golf que, mantiene su imagen sencilla y familiar y gana enteros en lo tecnológico, manteniéndose entre los mejores en cuanto a calidad percibida.» ",1,2,1.0,5.0,2.0,3.0,"Solidez, valor de reventa, comportamiento, gama de motores, tacto de conducción","Precio elevado, maletero justo, diseño continuista"
 Renault Captur PHEV ,,,,1,1,5.0,4.0,8.0,3.0,"Eficiencia, etiqueta CERO, consumos, equipamiento","Reducción de maletero, necesidad de buscar puntos de carga para aprovechar su potencial"
 Audi RS7 Sportback ,,,,1,7,1.0,6.0,1.0,6.0,"Imagen, calidad de construcción, prestaciones","Precio, consumo"
 Audi A6 Allroad ,,,,1,1,1.0,1.0,1.0,7.0,"Tecnología, seguridad, estética, calidad y diseño interior","Climatizador táctil, pantallas manchadizas, precio elevado, opciones muy caras"
 Kia Stinger ,,"4,1",,1,5,4.0,6.0,1.0,4.0,"Presentación, diseño, acabados, equipamiento, portón trasero","Maletero pequeño, altura plazas traseras, solo un motor"
 Honda CR-V HEV ,,"3,7",,1,1,5.0,6.0,7.0,5.0,"Tacto de coche eléctrico, espacio interior, versatilidad, calidad de rodadura, acabados","Precio algo elevado, imposibilidad de llevar 7 plazas"
 Toyota Yaris Cross ,,,,1,1,5.0,1.0,7.0,2.0,,
 Fiat Panda MHEV ,,"3,3",,7,1,5.0,3.0,6.0,3.0,"Precio insuperable, espacio interior, practicidad, economía","Percepción general de calidad justa, prestaciones limitadas"
 Mazda 2 ,,"3,9"," «El Mazda 2, el de la generación del 2011, es un coche pequeño y bueno pero muy caro para lo que es, no está a la altura del resto de modelos de la marca en cuando a diseño o comodidad. Lee mi ",4,1,5.0,4.0,4.0,2.0,"Diseño, presentación, posibilidades de equipamiento, comportamiento","Calidad de algunos plásticos, precio elevado, maletero pequeño"
 Nissan Micra ,,"3,2",,1,1,5.0,5.0,4.0,3.0,"Diseño, posibilidades de equipamiento, regresa el motor diésel","Precio algo elevado, espacio en plazas traseras"
 Fiat 500C MHEV ,,,,8,1,1.0,1.0,6.0,7.0,"Precio, diseño, personalidad, etiqueta ECO","Equipamiento de seguridad, prestaciones pobres"
 Jeep Renegade ,,"3,4",,1,1,5.0,5.0,2.0,3.0,"Estética original, amplia gama de motores, posibilidades off-road de la versión Trailhawk","Calidades interiores algo justas, motores diésel ruidosos"
 Hyundai i20 N ,,,,2,7,5.0,5.0,2.0,5.0,,
 Jeep Compass ,,"3,5",,1,1,1.0,7.0,2.0,2.0,"Capacidades off-road, exclusividad, estética","Precio elevado, calidad de algunos plásticos, motores diésel ruidosos"
 Kia Xceed ,,"3,9",,1,1,6.0,6.0,2.0,4.0,"Estética deportiva y aventurera, relación equipamiento/precio, calidad de construcción",Maletero algo justo
 SEAT Mii eléctrico ,,"3,3",,8,1,4.0,3.0,10.0,3.0,"Precio con promociones, agilidad, equipo de serie","Plazas traseras justas, homologado para cuatro"
 Mazda CX-3 ,,"3,9",,1,2,5.0,5.0,2.0,3.0,"Diseño, comportamiento, equipamiento disponible, opción de tracción total, motores eficientes","Plazas traseras justas, maletero pequeño, aspecto de algunos plásticos"
 Alfa Romeo Giulietta ,,"2,4"," «Un veterano entre los compactos, aún así el Alfa Romeo Guilietta goza de un diseño atractivo e interesantes ofertas que lo convierten en buena opción de compra. Motores diésel sobradamente contrastados y una destacable opción a GLP le confieren buenos argumentos.» ",1,3,1.0,5.0,2.0,3.0,"Comportamiento dinámico, sistema DNA","Calidad de algunos plásticos, equipamiento de serie, tecnología"
 Toyota Corolla Touring Sports ,,"3,7",,1,1,5.0,7.0,7.0,2.0,"Calidad de terminación, equipamiento de seguridad, motor 180 CV","Cambio CVT, sin opciones de personalización"
 Nissan Leaf eléctrico ,,"3,4",,1,1,5.0,6.0,10.0,3.0,"Silencio de marcha, espacio interior, autonomía, equipamiento","Calidad de algunos plásticos, precio sin ayudas, tiempo de recarga"
 Mazda MX-5 ,,"4,4",,4,7,7.0,1.0,2.0,7.0,"Comportamiento, sencillez de capota, motores, estética, interior, pureza del concepto","Interior justo, sonoridad elevada, maletero pequeño"
 Renault Talisman ,,"3,5",,1,1,5.0,7.0,2.0,2.0,"Diseño, equipamiento, motor BluedCi 150 CV, comportamiento","Precio algo elevado, detalles de acabado, longitud"
 Renault Talisman Sport Tourer ,,"3,5",,1,1,5.0,7.0,2.0,3.0,"Maletero, diseño, posibilidades de equipamiento","Detalles de acabado, precio en las versiones medio-altas"
 Hyundai Ioniq eléctrico ,,,,1,1,5.0,6.0,10.0,3.0,"Espacio interior, silencio de marcha, precio similar al híbrido enchufable","Calidad de algunos plásticos, tamaño excesivo para ciudad"
 Honda HR-V ,,"3,5",,1,1,5.0,6.0,2.0,3.0,"Espacio interior muy generoso, maletero, practicidad y versatilidad","Diseño extraño, interior algo pobre, gama de motores muy limitada"
 Kia Xceed PHEV ,,,,1,1,4.0,4.0,8.0,4.0,"Imagen diferenciada, equipamiento, etiqueta CERO de la DGT","Peso elevado, maletero reducido respecto a la variante con motor térmico"
 Mazda MX-5 RF ,,,,4,7,6.0,1.0,2.0,7.0,"Dinámica, tacto de dirección y cambio, interior soberbio, calidad de construcción, precio","Ruidos aerodinámicos con el techo cerrado, experiencia a cielo abierto ""incompleta"""
 Renault ZOE eléctrico ,,"4,0",,2,1,5.0,5.0,10.0,4.0,"Diseño exclusivo, precio en relación a los rivales, autonomía","Precio sin alquiler de batería no tan competitivo, aspecto de algunos plásticos"
 Kia e-Niro eléctrico ,,,,1,1,5.0,6.0,10.0,3.0,"Autonomía elevada, formato práctico urbano y familiar","Precio elevado, como todos los eléctricos"
 Jeep Renegade PHEV ,,,,1,1,1.0,5.0,8.0,3.0,"Imagen personal, capacidades off-road, etiqueta CERO de la DGT","Autonomía eléctrica muy sensible al uso, calidad de algunos materiales, posibilidades de equipamiento reducidas"
 Volkswagen T-Roc Cabrio ,,,,1,1,1.0,1.0,1.0,4.0,"Diseño muy bien resuelto, imagen muy personal","Peso, prestaciones, acabados algo pobres"
 Hyundai i30 N Fastback ,,,,1,6,5.0,5.0,1.0,3.0,"Comportamiento, prestaciones, practicidad real, originalidad","Los modos de suspensión más firmes son poco utilizables fuera de circuito, acceso al maletero"
 Hyundai i30 N ,,"4,0",,1,6,5.0,5.0,1.0,3.0,"Dinámica, opciones de configuración, prestaciones, usabilidad, espacio interior","Maletero algo justo, modo de suspensión Sport+ sólo apto para circuito, consumo elevado"
 Jeep Compass PHEV ,,,,1,1,1.0,6.0,8.0,3.0,,
 Toyota Land Cruiser ,,"3,9",,1,1,1.0,8.0,1.0,2.0,"Capacidad todoterreno, robustez general, durabilidad","Precio elevado, interior anodino, comportamiento en carretera"
 Alfa Romeo Stelvio ,,"3,8",,1,5,1.0,7.0,1.0,6.0,"Diseño, comportamiento dinámico, oferta mecánica variada","Equipamiento de serie justo, precio elevado, calidad de algunos plásticos"
 Volkswagen Golf PHEV ,,,,1,4,1.0,5.0,8.0,5.0,"Imagen de marca, tecnología de seguridad, etiqueta CERO","Peso, maletero más pequeño, precio"
 Audi TT ,,"3,9",,1,5,1.0,2.0,2.0,6.0,"Diseño interior de vanguardia, calidad de construcción","Su comportamiento no es el de un 718, pero casi"
 Honda Civic Type R ,,,,1,7,3.0,5.0,1.0,5.0,"Tacto de conducción, sonido, experiencia deportiva envolvente, comportamiento, motor, cambio, compromiso con el confort",Estética no apta para todos los públicos
 Volkswagen Arteon ,,"3,9",,1,4,2.0,7.0,2.0,5.0,"Diseño, equipamiento, calidad de terminación, maletero","Altura en plazas traseras, gama limitada, opciones caras"
 Audi TT Roadster ,,"3,9",,1,6,1.0,1.0,1.0,6.0,"Interior espectacular, calidad de construcción, tecnología","El comportamiento no es el de un Boxter, pero casi"
 Volkswagen Passat AllTrack ,,,,1,1,1.0,9.0,2.0,4.0,"Diseño, calidad de construcción, espacio interior, equipamiento completísimo, maletero","Precio muy elevado, difícil de aparcar por su longitud, tracción total no permanente"
 Jeep Wrangler ,,"3,9",,1,1,1.0,1.0,1.0,5.0,"Aptitudes off-road, equipamiento, motores solventes","Gasto de combustible, amplitud en 3 puertas, maletero pequeño, precio"
 Audi S3 ,,," «El indomable. Los 300 CV más divertidos que he probado en tiempo. De no ser porque lleva la chapa de Quattro en la guantera, pensaría que es tracción trasera. Lee mi ",1,5,1.0,4.0,1.0,5.0,"Calidad de construcción, diseño del interior, prestaciones","Precio elevado, opciones caras, tacto de dirección poco comunicativo"
 Audi S3 Sedán ,,,,1,5,1.0,1.0,1.0,5.0,,
 Audi Q5 Sportback ,,,,1,3,1.0,7.0,2.0,5.0,,
 Porsche 718 Cayman ,,,,1,6,1.0,1.0,1.0,7.0,"Comportamiento, prestaciones, diversión al volante, motor central, agilidad","Precio elevado, maletero simbólico"
 Porsche 718 Boxster ,,,,1,6,1.0,1.0,1.0,8.0,"Diseño, calidad de construcción, dinámica de conducción impecable","Sonido de los motores de cuatro cilindros, espacio interior"
 Audi A7 Sportback ,,,,1,4,1.0,7.0,1.0,5.0,"Diseño y calidad interior, exclusividad, confort y silencio de marcha","Tacto de dirección, comportamiento poco deportivo"
 Audi A6 PHEV ,,,,1,2,1.0,4.0,8.0,3.0,,
 Volkswagen Touareg PHEV ,,,,1,1,1.0,9.0,8.0,3.0,"Imagen, equipamiento, calidad, agrado de conducción","Precio, peso, capacidades off-road"
 Audi RS Q3 ,,,,1,5,1.0,7.0,1.0,4.0,,
 Porsche Taycan eléctrico ,,,,1,7,1.0,4.0,10.0,8.0,"Prestaciones, tecnología, solidez general",Precio inalcanzable para el común de los mortales
 Alfa Romeo Giulia QV ,,,,1,7,1.0,5.0,1.0,5.0,"Motor, comportamiento, motor, sensaciones de conducción, motor, tacto de dirección, motor...",Interior muy mejorable
 Porsche Panamera ,,,,1,5,1.0,5.0,1.0,8.0,"Nivel prestacional, exclusividad, estética, tecnología","Peso elevado, consumos, precio"
 Audi RS5 Sportback ,,,,1,7,1.0,6.0,1.0,5.0,,
 Nissan GT-R ,,"4,1",,1,9,3.0,1.0,1.0,9.0,"Relación prestaciones/precio, estética atractiva, nivel tecnológico, practicidad real","Interior obsoleto, puesto de conducción muy alto, modelo algo antiguo frente a la competencia"
 SEAT León ST PHEV ,,,,1,1,4.0,8.0,8.0,3.0,"Imagen, tecnología, sistema híbrido enchufable muy completo","Peso, tamaño del maletero"
 Toyota ProAce City Verso ,,,,1,1,5.0,8.0,1.0,1.0,Sencillez y practicidad también para familias,Calidad de los revestimientos
 Toyota Camry HEV ,,,,1,1,5.0,6.0,7.0,1.0,"Fiabilidad más que contrastada, espacio a bordo, equipamiento de serie","Imagen insulsa, transmisión con un comportamiento ""especial"""
 Toyota GR Yaris ,,,,2,5,5.0,1.0,1.0,2.0,"Imagen, exclusividad, prestaciones, deportividad","Practicidad, consumo"
 Honda e ,,"3,7",,4,1,1.0,2.0,10.0,5.0,"Calidad, diseño personal, equipamiento, prestaciones","Autonomía, precio alto, retrovisores por pantalla"
 Volkswagen ID.3 eléctrico ,,,,1,2,5.0,5.0,10.0,6.0,"Prestaciones, rango de uso, equipamiento","Precio elevado, tiempo de recarga, acabados pobres"
 Toyota Highlander HEV ,,,,1,1,5.0,1.0,7.0,5.0,"Imagen, equipamiento, espacio interior, mecánica muy fiable y resolutiva","Caja de cambios, consumos a altas velocidades"
 Audi SQ2 ,,,,1,4,1.0,1.0,1.0,4.0,"Potencia, prestaciones, consumo","Acabados, dinámica peor que la de su equivalente compacto"
 Hyundai NEXO Fuel Cell ,,,,1,1,1.0,6.0,10.0,5.0,"Tecnología de vanguardia, rapidez de repostaje equivalente a gasolina, uso idéntico a un eléctrico","No hay hidrolineras, por lo tanto no puedes repostar"
 Audi E-Tron Sportback eléctrico ,,,,1,3,1.0,8.0,10.0,6.0,,
 Toyota Mirai ,,,,1,1,1.0,3.0,10.0,1.0,,
 Audi RS4 Avant ,,,,1,7,1.0,7.0,1.0,5.0,,
 Audi RS5 ,,,,1,7,1.0,2.0,1.0,6.0,,
 Audi SQ8 ,,,,1,6,1.0,8.0,1.0,6.0,,
 Audi RS Q8 ,,,,1,6,1.0,8.0,1.0,6.0,,
 Porsche 911 Speedster ,,,,1,8,1.0,1.0,1.0,8.0,"Diseño, exclusividad",Unidades limitadas
 Hyundai H1 Travel ,,,,1,1,7.0,1.0,2.0,1.0,"Tamaño, versatilidad, capacidad de transporte",Es más un microbús que un coche
 Volkswagen Arteon Shooting Brake ,,,,1,1,1.0,7.0,2.0,5.0,,
 Nissan NP300 Navara ,,,,1,1,1.0,1.0,1.0,2.0,"Precio razonable, dureza general, interior logrado","Ausencia de diferencial central, sobriedad"
 Fiat Tipo Cross ,,,,1,1,7.0,6.0,2.0,3.0,"Diseño agradable, mejora en calidades, motores solventes, precio","Sin ningún tipo de electrificación, tecnología de confort y seguridad algo desfasada"
 Renault Twingo eléctrico ,,,,8,1,5.0,3.0,10.0,4.0,,
 Honda Jazz HEV ,,,,3,1,1.0,4.0,7.0,2.0,,
 Kia ProCeed ,,,,1,3,5.0,7.0,2.0,3.0,,
 Renault Koleos ,,"3,0",,1,1,1.0,8.0,2.0,2.0,"Espacio interior, precio ajustado, equipo completo","Detalles de calidad mejorables, se da de bruces con su hermano el Espace... y pierde"
 Kia ProCeed MHEV ,,,,1,3,5.0,6.0,6.0,4.0,"Diseño muy atractivo, dinámica de conducción agradable","Materiales en las plazas traseras, visibilidad, maletero algo escaso"
 Renault Mégane RS ,,"4,0",,1,6,5.0,5.0,2.0,3.0,"Motor brillante, prestaciones, cambio manual o EDC, equipo completo, comportamiento","Solo con carrocería de cinco puertas, precio sin promociones, aspecto de algunos plásticos"
 Kia Ceed GT ,,,,1,6,5.0,5.0,1.0,3.0,"Estética discreta, equipamiento de serie muy amplio, motor muy refinado","Chasis algo blando, falta de sensaciones al volante para tratarse de la versión más deportiva"
 Toyota Hilux ,,"3,6",,1,1,1.0,1.0,1.0,2.0,"Es un Hilux, no se rompe","Comportamiento sensible a la carga, precio elevado, estética poco conseguida"
 SEAT Tarraco PHEV ,,,,1,1,5.0,10.0,8.0,3.0,"Imagen, espacio a bordo, potencia, equipamiento","Calidad de algunos materiales, peso elevado, dinamismo comprometido respecto a las versiones térmicas"
 Nissan 370Z ,,,,1,6,3.0,1.0,1.0,6.0,"Precio, motor V6, postura de conducción, tracción trasera, autenticidad","Interior obsoleto, plásticos muy mejorables, biplaza estricto, diseño algo desfasado"
 Volkswagen Amarok ,,"3,4",,1,1,1.0,1.0,1.0,2.0,"Diferencial central Torsen, sensación de solidez, estética conseguida, interior muy cuidado, prestaciones destacadas","Posibilidades off-road limitadas, precio elevado"
 Volkswagen Multivan ,,"3,6",,1,1,2.0,1.0,2.0,1.0,"Espacio para 8 personas con equipaje, equipamiento","Precio elevado, tacto en curva condicionado por su altura"
 Volkswagen ID.4 eléctrico ,,,,1,1,1.0,7.0,10.0,3.0,,
 Audi A5 Cabrio ,,,,1,4,1.0,1.0,2.0,5.0,"Diseño refinado, calidad de construcción, aislamiento","Peso adicional, espacio en las plazas traseras"
 Audi Q3 PHEV ,,,,1,3,1.0,7.0,8.0,4.0,"Diseño, tecnología, etiqueta CERO","Precio, peso, consumo con la batería descargada"
 Audi Q3 Sportback PHEV ,,,,1,3,1.0,7.0,8.0,3.0,"Diseño, tecnología híbrida enchufable, etiqueta CERO","Precio, peso"
 Audi S7 Sportback ,,,,1,6,1.0,6.0,1.0,5.0,,
 Toyota GR Supra ,,,,1,7,1.0,1.0,1.0,7.0,,
 Audi e-tron eléctrico ,,"3,9",,1,5,1.0,8.0,10.0,7.0,"Autonomía, calidad de acabados","Precios, autonomía frente a los modelos de combustión"
 Audi SQ5 ,,,,1,6,1.0,8.0,1.0,4.0,,
 Audi SQ5 Sportback ,,,,1,4,1.0,1.0,6.0,4.0,,
 Audi TT RS Roadster ,,,,1,7,1.0,1.0,1.0,7.0,"Sonido de su motor de cinco cilindros, prestaciones, calidad","Espacio interior, peso, consumo"
 Audi TT RS ,,,,1,7,1.0,2.0,1.0,6.0,,
 Porsche Cayenne E Hybrid PHEV ,,,,1,5,1.0,9.0,8.0,4.0,"Prestaciones, comportamiento, tacto de conducción, exclusividad, etiqueta CERO","Nunca una etiqueta CERO tuvo tan poco sentido, pero si te lo puedes permitir..."
 Porsche Cayenne Coupé ,,,,1,5,1.0,7.0,1.0,4.0,,
 Porsche Cayenne Coupé E-Hybrid PHEV ,,,,1,5,1.0,7.0,8.0,4.0,"Imagen, calidad de construcción, capacidad de personalización, etiqueta CERO","Peso, precio"
 Fiat Tipo 5P ,,"2,9",,1,1,7.0,6.0,2.0,2.0,"Precio demoledor, diseño, maletero gigantesco, versatilidad","Calidad de algunos plásticos, detalles de acabado"
 Fiat Tipo SW ,,"2,9",,1,1,6.0,7.0,2.0,2.0,"Precio demoledor, diseño, maletero gigantesco, versatilidad","Calidad de algunos plásticos, detalles de acabado"
 Hyundai i30 Fastback MHEV ,,,,1,2,5.0,6.0,2.0,3.0,"Estética deportiva y original, relación valor/precio",Apertura y forma del maletero
 Kia Xceed MHEV ,,,,1,1,5.0,5.0,6.0,4.0,,
 Volkswagen Arteon PHEV ,,,,1,1,4.0,7.0,8.0,3.0,,
 Volkswagen Arteon R ,,,,1,4,4.0,7.0,2.0,3.0,,
 Jeep Compass Trailhawk ,,,,1,1,1.0,5.0,1.0,3.0,,
 Volkswagen California ,,,,1,1,5.0,1.0,2.0,5.0,"Diseño, posibilidades de equipamiento, polivalencia","Dinámica de conducción, precio, consumo"
 Audi Q8 ,,"4,1",,1,6,1.0,8.0,1.0,6.0,"Calidad, equipamiento, acabados, presencia","Precio, tamaño"
 Audi Q8 PHEV ,,,,1,5,1.0,7.0,8.0,6.0,"Diseño, prestaciones, etiqueta CERO de la DGT","Precio, peso"
 Alfa Romeo Stelvio QV ,,,,1,6,1.0,7.0,1.0,4.0,"Comportamiento, tacto de conducción, sonido, prestaciones, diversión al volante","Plásticos mejorables, diseño interior por detrás de la competencia, interfaz de usuario obsoleta"
 Toyota ProAce Van ,,,,1,1,,,,,,
 Renault Kangoo ,,,,2,6,,,,,,
 Toyota ProAce City Van ,,,,1,1,,,,,,
 Renault Trafic ,,,,1,1,,,,,,
 Nissan NV300 ,,,,1,5,,,,,,
 Toyota Corolla HEV ,,"3,7",,1,1,5.0,5.0,7.0,2.0,"Calidad de terminación, equipamiento de seguridad, motor 180 CV","Cambio CVT, sin opciones de personalización"
 Kia Ceed Tourer PHEV ,,,,1,2,3.0,6.0,8.0,3.0,"Polivalencia, precio, equipamiento","Peso adicional, dinámica modificada a consecuencia de los componentes mecánicos extra"
 Fiat Dobló ,,,,1,8,,,,,,
 Mazda MX-30 eléctrico ,,"3,3",,1,3,1.0,5.0,2.0,4.0,"Amplitud, materiales de calidad, diseño personal","Autonomía muy justa, precio elevado"
 Toyota ProAce Verso ,,,,1,1,,,,,,
