Nombre,Marca,Puntuacion,Informativo,C_peque_manej,C_deportivo,C_bueno_barato,C_practico,C_ecologico,C_atractivo,Lo_mejor,Lo_peor
Mazda 2,Mazda,"3,9",Un utilitario interesante gracias a su relación calidad/precio,4,1,5.0,4.0,4.0,2.0,"Diseño, presentación, posibilidades de equipamiento, comportamiento","Calidad de algunos plásticos, precio elevado, maletero pequeño"
Kia Xceed,Kia,"3,9",Entre el Stonic y el Sportage y con diseño distintivo,1,1,6.0,6.0,2.0,4.0,"Estética deportiva y aventurera, relación equipamiento/precio, calidad de construcción",Maletero algo justo
Jeep Renegade,Jeep,"3,4",Un SUV diferente con una versión off-road de verdad,1,1,5.0,5.0,2.0,3.0,"Estética original, amplia gama de motores, posibilidades off-road de la versión Trailhawk","Calidades interiores algo justas, motores diésel ruidosos"
Jeep Compass,Jeep,"3,5","Avanzado, muy equipado y eficaz fuera del asfalto",1,1,1.0,1.0,2.0,2.0,"Capacidades off-road, exclusividad, estética","Precio elevado, calidad de algunos plásticos, motores diésel ruidosos"
SEAT Mii Electric,SEAT,"3,3",Uno de los eléctricos más baratos e interesantes,8,1,4.0,3.0,10.0,3.0,"Precio con promociones, agilidad, equipo de serie","Plazas traseras justas, homologado para cuatro"
Alfa Romeo Giulietta,Alfa Romeo,"2,4",Deportividad en formato compacto,1,3,1.0,5.0,2.0,3.0,"Comportamiento dinámico, sistema DNA","Calidad de algunos plásticos, equipamiento de serie"
Mazda CX-3,Mazda,"3,9",La opción exótica para los que buscan un SUV pequeño,1,2,5.0,1.0,2.0,3.0,"Diseño, comportamiento, equipamiento disponible, opción de tracción total, motores eficientes","Plazas traseras justas, maletero pequeño, aspecto de algunos plásticos"
Renault Talisman,Renault,"3,5",Elegancia y mucho equipamiento para la berlina francesa,1,1,5.0,7.0,2.0,2.0,"Diseño, equipamiento, motor BluedCi 150 CV, comportamiento","Precio algo elevado, detalles de acabado, longitud"
Mazda MX-5,Mazda,"4,4",Un excelente Roadster biplaza por la mínima inversión,4,7,7.0,1.0,2.0,7.0,"Comportamiento, sencillez de capota, motores, estética, interior, pureza del concepto","Interior justo, sonoridad elevada, maletero pequeño"
Honda HR-V,Honda,"3,5",Calidad y equipamiento son virtudes del nuevo HR-V,1,1,5.0,6.0,2.0,3.0,"Espacio interior muy generoso, maletero, practicidad y versatilidad","Diseño extraño, interior algo pobre, gama de motores muy limitada"
Renault Talisman Sport Tourer,Renault,"3,5",Elegancia y mucho equipamiento para el familiar francés,1,1,5.0,7.0,2.0,3.0,"Maletero, diseño, posibilidades de equipamiento","Detalles de acabado, precio en las versiones medio-altas"
Hyundai Ioniq EV,Hyundai,,,1,1,5.0,1.0,10.0,3.0,"Espacio interior, silencio de marcha, precio similar al híbrido enchufable","Calidad de algunos plásticos, tamaño excesivo para ciudad"
Kia Xceed PHEV,Kia,,,1,1,4.0,1.0,8.0,4.0,,
Renault ZOE EV,Renault,"4,0",El vehículo ideal para los que se mueven casi en su totalidad por ciudad,1,1,5.0,1.0,10.0,4.0,"Diseño exclusivo, precio en relación a los rivales, autonomía","Precio sin alquiler de batería no tan competitivo, aspecto de algunos plásticos"
Honda CR-V HEV,Honda,"3,7",Único en su especie por su sistema híbrido,1,1,5.0,1.0,7.0,5.0,"Tacto de coche eléctrico, espacio interior, versatilidad, calidad de rodadura, acabados","Precio algo elevado, imposibilidad de llevar 7 plazas"
Nissan Leaf,Nissan,"3,4","Más tecnológico y con mayor autonomía, el Leaf 2.0 es más interesante",1,1,5.0,1.0,10.0,3.0,"Silencio de marcha, espacio interior, autonomía, equipamiento","Calidad de algunos plásticos, precio sin ayudas, tiempo de recarga"
Volkswagen T-Roc Cabrio,Volkswagen,,,1,1,1.0,1.0,1.0,4.0,,
Kia e-Niro,Kia,,,1,1,5.0,1.0,10.0,3.0,"Autonomía elevada, formato práctico urbano y familiar","Precio elevado, como todos los eléctricos"
Jeep Renegade PHEV,Jeep,,,1,1,1.0,5.0,8.0,3.0,,
Hyundai i30 N Fastback,Hyundai,,,1,6,5.0,5.0,1.0,3.0,"Comportamiento, prestaciones, practicidad real, originalidad","Los modos de suspensión más firmes son poco utilizables fuera de circuito, acceso al maletero"
Hyundai i30 N,Hyundai,"4,0","Ve a por el más potente, con diferencial activo y un plus de prestaciones",1,6,5.0,5.0,1.0,3.0,"Dinámica, opciones de configuración, prestaciones, usabilidad, espacio interior","Maletero algo justo, modo de suspensión Sport+ sólo apto para circuito, consumo elevado"
Jeep Compass PHEV,Jeep,,,1,1,1.0,6.0,8.0,3.0,,
Kia Stinger,Kia,"4,1",Diseño y completo equipamiento son sus principales virtudes,1,5,4.0,6.0,1.0,4.0,"Presentación, diseño, acabados, equipamiento, portón trasero","Maletero pequeño, altura plazas traseras, sin faros LED o xenón en los acabados básicos"
Volkswagen Arteon,Volkswagen,"3,9",Diseño y equipamiento a precios razonables,1,4,2.0,1.0,2.0,5.0,"Diseño, equipamiento, calidad de terminación, maletero","Altura en plazas traseras, gama limitada, opciones caras"
Jeep Cherokee,Jeep,,,1,1,1.0,1.0,2.0,2.0,,
Alfa Romeo Stelvio,Alfa Romeo,"3,8",Deportividad y diseño destacan en el nuevo Stelvio de Alfa Romeo,1,5,1.0,7.0,1.0,6.0,"Diseño, comportamiento dinámico, oferta mecánica variada","Equipamiento de serie justo, precio elevado, calidad de algunos plásticos"
Mazda MX-5 RF,Mazda,,,4,7,6.0,1.0,2.0,7.0,"Dinámica, tacto de dirección y cambio, interior soberbio, calidad de construcción, precio","Ruidos aerodinámicos con el techo cerrado, experiencia a cielo abierto ""incompleta"""
Toyota Land Cruiser,Toyota,"3,9","Un auténtico y genuino todoterreno. En Toyota dicen que ""si cabe, pasa""",1,1,1.0,1.0,1.0,2.0,"Capacidad todoterreno, robustez general, durabilidad","Precio elevado, interior anodino, comportamiento en carretera"
Honda Civic Type R,Honda,,,1,7,3.0,1.0,1.0,5.0,"Tacto de conducción, sonido, experiencia deportiva envolvente, comportamiento, motor, cambio, compromiso con el confort",Estética no apta para todos los públicos
Audi TT,Audi,"3,9",Probablemente el mejor TT de la historia.,1,5,1.0,1.0,2.0,6.0,"Diseño interior de vanguardia, calidad de construcción","Su comportamiento no es el de un 718, pero casi"
Audi TT Roadster,Audi,"3,9","El mejor interior del mercado, con envoltorio moderno y atractivo",1,6,1.0,1.0,1.0,6.0,"Interior espectacular, calidad de construcción, tecnología","El comportamiento no es el de un Boxter, pero casi"
Jeep Wrangler,Jeep,"3,9",Caro pero muy llamativo y con un estilo retro inconfundible,1,1,1.0,1.0,1.0,5.0,"Aptitudes off-road, equipamiento, motores solventes","Gasto de combustible, amplitud en 3 puertas, maletero pequeño, precio"
Volkswagen Passat AllTrack,Volkswagen,,,1,1,1.0,1.0,2.0,4.0,"Diseño, calidad de construcción, espacio interior, equipamiento completísimo, maletero","Precio muy elevado, difícil de aparcar por su longitud, tracción total no permanente"
Jeep Grand Cherokee,Jeep,,,1,1,1.0,7.0,1.0,3.0,"Capacidades todoterreno, precio, estética americana","Calidad de acabados, peso elevado, comportamiento en carretera, tren trasero sobrevirador, diseño obsoleto"
Audi S3 Sedán,Audi,,,1,5,1.0,1.0,1.0,5.0,,
Porsche 718 Cayman,Porsche,,,1,6,1.0,1.0,1.0,7.0,"Comportamiento, prestaciones, diversión al volante, motor central, agilidad","Precio elevado, maletero simbólico"
Audi A7 Sportback,Audi,,,1,4,1.0,1.0,1.0,5.0,"Diseño y calidad interior, exclusividad, confort y silencio de marcha","Tacto de dirección, comportamiento poco deportivo"
Porsche 718 Boxster,Porsche,,,1,6,1.0,1.0,1.0,8.0,,
Audi A6 PHEV,Audi,,,1,2,1.0,1.0,8.0,3.0,,
Audi A6 Allroad,Audi,,,1,1,1.0,1.0,1.0,7.0,"Tecnología, seguridad, estética, calidad y diseño interior","Climatizador táctil, pantallas manchadizas, precio elevado, opciones muy caras"
Audi RS Q3,Audi,,,1,5,1.0,1.0,1.0,4.0,,
Alfa Romeo Giulia QV,Alfa Romeo,,,1,7,1.0,5.0,1.0,5.0,"Motor, comportamiento, motor, sensaciones de conducción, motor, tacto de dirección, motor...",Interior muy mejorable
Audi RS5 Sportback,Audi,,,1,7,1.0,1.0,1.0,5.0,,
Audi RS5,Audi,,,1,7,1.0,1.0,1.0,6.0,,
Audi SQ8,Audi,,,1,6,1.0,1.0,1.0,6.0,,
Toyota ProAce Van,Toyota,,,1,1,,,,,,
Toyota Highlander,Toyota,,,1,1,5.0,1.0,7.0,5.0,,
Toyota ProAce City Van,Toyota,,,1,1,,,,,,
Renault Kangoo,Renault,,,2,6,,,,,,
Renault Trafic,Renault,,,1,1,,,,,,
Nissan NV300,Nissan,,,1,1,,,,,,
Toyota Corolla HEV,Toyota,"3,7","Etiqueta ECO y consumos ajustados, de serie",1,1,5.0,1.0,7.0,2.0,"Calidad de terminación, equipamiento de seguridad, motor 180 CV","Cambio CVT, sin opciones de personalización"
Fiat Dobló,Fiat,,,1,8,,,,,,
Kia Ceed Tourer PHEV,Kia,,,1,2,3.0,1.0,8.0,3.0,,
Mazda MX-30,Mazda,"3,1",Exclusividad para uso urbano,1,3,1.0,5.0,2.0,4.0,"Amplitud, materiales de calidad, diseño personal","Autonomía muy justa, precio elevado"
Toyota ProAce City Verso,Toyota,,,1,1,5.0,1.0,1.0,1.0,,
Toyota ProAce Verso,Toyota,,,1,1,,,,,,
Toyota Camry HEV,Toyota,,,1,1,5.0,1.0,7.0,1.0,,
Toyota GR Yaris,Toyota,,,2,5,5.0,1.0,1.0,2.0,,
Honda e,Honda,"3,6","Un urbanita eléctrico muy personal en diseño y soluciones, con una dotación sensacional. Lo malo es que la autonomía es demasiado limitada mientras que su precio, incluyendo promociones, es elevado.",1,1,1.0,1.0,10.0,5.0,"Calidad, diseño personal, equipamiento, prestaciones","Autonomía, precio alto, retrovisores por pantalla"
Volkswagen ID.3,Volkswagen,,,1,2,5.0,1.0,10.0,6.0,"Prestaciones, rango de uso, equipamiento","Precio elevado, tiempo de recarga"
Audi SQ2,Audi,,,1,4,1.0,1.0,1.0,4.0,,
Hyundai NEXO Fuel Cell,Hyundai,,,1,1,1.0,6.0,10.0,5.0,"Tecnología de vanguardia, rapidez de repostaje equivalente a gasolina, uso idéntico a un eléctrico","No hay hidrolineras, por lo tanto no puedes repostar"
Audi E-Tron Sportback,Audi,,,1,3,1.0,1.0,10.0,6.0,,
Toyota Mirai,Toyota,,,1,1,1.0,3.0,10.0,1.0,,
Audi RS4 Avant,Audi,,,1,7,1.0,1.0,1.0,5.0,,
Audi RS Q8,Audi,,,1,6,1.0,1.0,1.0,6.0,,
Porsche 911 Speedster,Porsche,,,1,8,1.0,1.0,1.0,8.0,,
Hyundai H1 Travel,Hyundai,,,1,1,7.0,1.0,2.0,1.0,"Tamaño, versatilidad, capacidad de transporte",Es más un microbús que un coche
Volkswagen Arteon Shooting Brake,Volkswagen,,,1,1,1.0,1.0,2.0,5.0,,
Nissan NP300 Navara,Nissan,,,1,1,1.0,1.0,1.0,2.0,"Precio razonable, dureza general, interior logrado","Ausencia de diferencial central, sobriedad"
Renault Twingo EV,Renault,,,1,1,5.0,1.0,10.0,4.0,,
Honda Jazz HEV,Honda,,,4,1,1.0,5.0,7.0,2.0,,
Kia ProCeed,Kia,,,1,3,5.0,7.0,2.0,3.0,,
Kia Ceed GT,Kia,,,1,6,5.0,5.0,1.0,3.0,,
Renault Koleos,Renault,"3,0",Muchas posibilidades de equipamiento y diseño llamativo destacan,1,1,1.0,1.0,2.0,2.0,"Espacio interior, precio ajustado, equipo completo","Detalles de calidad mejorables, se da de bruces con su hermano el Espace... y pierde"
Kia ProCeed MHEV,Kia,,,1,3,5.0,1.0,6.0,4.0,,
Toyota Hilux,Toyota,"3,6","Es una de las pick-up más caras, pero es el precio de ser una de las mejores opciones",1,1,1.0,1.0,1.0,2.0,"Es un Hilux, no se rompe","Comportamiento sensible a la carga, precio elevado, estética poco conseguida"
Renault Mégane RS,Renault,"4,0",Sensacional comportamiento y excelentes prestaciones,1,6,5.0,1.0,2.0,3.0,"Motor brillante, prestaciones, cambio manual o EDC, equipo completo, comportamiento","Solo con carrocería de cinco puertas, precio sin promociones, aspecto de algunos plásticos"
SEAT Tarraco PHEV,SEAT,,,1,1,5.0,1.0,8.0,3.0,,
Toyota GT 86,Toyota,"3,8",¿Buscas diversión? El GT 86 te la dará.,1,6,3.0,1.0,2.0,4.0,"Diversión al volante, estética coupé, puesto de conducción deportivo, pureza del concepto","Calidades interiores, gama muy reducida, escasa practicidad"
Nissan 370Z,Nissan,,,1,6,3.0,1.0,1.0,6.0,"Precio, motor V6, postura de conducción, tracción trasera, autenticidad","Interior obsoleto, plásticos muy mejorables, biplaza estricto, diseño algo desfasado"
Volkswagen Multivan,Volkswagen,"3,6",Tu industrial de pasajeros de referencia,1,1,2.0,1.0,2.0,1.0,"Espacio para 8 personas con equipaje, equipamiento","Precio elevado, tacto en curva condicionado por su altura"
Volkswagen Amarok,Volkswagen,"3,4",El amarok no es la mejor pick-up fuera de asfalto aunque instala propulsores TDI sobradamente contrastados,1,1,1.0,1.0,1.0,2.0,"Diferencial central Torsen, sensación de solidez, estética conseguida, interior muy cuidado, prestaciones destacadas","Posibilidades off-road limitadas, precio elevado"
Volkswagen ID.4,Volkswagen,,,1,1,1.0,1.0,10.0,3.0,,
Audi A5 Cabrio,Audi,,,1,4,1.0,1.0,2.0,5.0,,
Audi S7 Sportback,Audi,,,1,6,1.0,6.0,1.0,5.0,,
Toyota GR Supra,Toyota,,,1,7,1.0,1.0,1.0,7.0,,
Audi e-tron,Audi,"3,9","Por tamaño se sitúa entre el Q5 y el Q7. Por tecnología, juega en otra liga.",1,5,1.0,1.0,10.0,7.0,"Autonomía, calidad de acabados","Precios, autonomía frente a los modelos de combustión"
Audi SQ5,Audi,,,1,6,1.0,8.0,1.0,4.0,,
Audi TT RS Roadster,Audi,,,1,7,1.0,1.0,1.0,7.0,,
Audi TT RS,Audi,,,1,7,1.0,1.0,1.0,6.0,,
Porsche Cayenne E Hybrid PHEV,Porsche,,,1,5,1.0,9.0,8.0,4.0,"Prestaciones, comportamiento, tacto de conducción, exclusividad, etiqueta CERO","Nunca una etiqueta CERO tuvo tan poco sentido, pero si te lo puedes permitir..."
Porsche Cayenne Coupé,Porsche,,,1,5,1.0,8.0,1.0,4.0,,
